alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
multiple	single	correct	458697	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
multiple	single	incorrect	492	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
multiple	multiple	incorrect	145466	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
single	single	correct	362934	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
single	single	incorrect	2309	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2
multiple	single	correct	314703	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
multiple	single	incorrect	168	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
multiple	multiple	incorrect	18839	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
single	single	correct	268965	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
single	single	incorrect	393	quantMtRNAseq_Cerebellum_tRNA_1	0	shrimp
multiple	single	correct	455922	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
multiple	single	incorrect	464	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
multiple	multiple	incorrect	163450	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
single	single	correct	354852	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
single	single	incorrect	2464	quantMtRNAseq_Cerebellum_tRNA_2	0	bowtie2
multiple	single	correct	298160	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
multiple	single	incorrect	142	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
multiple	multiple	incorrect	20181	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
single	single	correct	254608	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
single	single	incorrect	337	quantMtRNAseq_Cerebellum_tRNA_2	0	shrimp
multiple	single	correct	460898	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
multiple	single	incorrect	463	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
multiple	multiple	incorrect	138003	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
single	single	correct	370772	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
single	single	incorrect	2246	quantMtRNAseq_Cerebellum_tRNA_3	0	bowtie2
multiple	single	correct	315343	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
multiple	single	incorrect	151	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
multiple	multiple	incorrect	15027	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
single	single	correct	278880	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
single	single	incorrect	282	quantMtRNAseq_Cerebellum_tRNA_3	0	shrimp
multiple	single	correct	451789	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
multiple	single	incorrect	518	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
multiple	multiple	incorrect	174371	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
single	single	correct	332717	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
single	single	incorrect	2557	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
multiple	single	correct	232281	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
multiple	single	incorrect	124	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
multiple	multiple	incorrect	14401	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
single	single	correct	213947	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
single	single	incorrect	206	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
multiple	single	correct	460166	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
multiple	single	incorrect	476	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
multiple	multiple	incorrect	142088	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
single	single	correct	365502	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
single	single	incorrect	2153	quantMtRNAseq_Cortex_tRNA_2	0	bowtie2
multiple	single	correct	304335	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
multiple	single	incorrect	163	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
multiple	multiple	incorrect	14579	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
single	single	correct	263101	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
single	single	incorrect	279	quantMtRNAseq_Cortex_tRNA_2	0	shrimp
multiple	single	correct	460369	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
multiple	single	incorrect	462	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
multiple	multiple	incorrect	145570	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
single	single	correct	365655	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
single	single	incorrect	2311	quantMtRNAseq_Cortex_tRNA_3	0	bowtie2
multiple	single	correct	302301	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
multiple	single	incorrect	130	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
multiple	multiple	incorrect	13602	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
single	single	correct	270027	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
single	single	incorrect	292	quantMtRNAseq_Cortex_tRNA_3	0	shrimp
